11:39:30.777 -> O3: 0.99 ppm, NOx: 0.80 ppm
11:39:35.887 -> O3: 0.95 ppm, NOx: 0.83 ppm
11:39:40.977 -> O3: 0.71 ppm, NOx: 0.44 ppm
11:39:46.057 -> O3: 0.94 ppm, NOx: 0.69 ppm
11:39:51.162 -> O3: 1.02 ppm, NOx: 0.90 ppm
11:39:51.162 -> O3: 1.02 ppm, NOx: 0.90 ppm
11:39:56.216 -> O3: 0.87 ppm, NOx: 0.66 ppm
11:40:01.326 -> O3: 1.05 ppm, NOx: 0.88 ppm
11:40:06.415 -> O3: 2.26 ppm, NOx: 4.20 ppm
11:40:11.514 -> O3: 0.04 ppm, NOx: 0.00 ppm
11:40:16.582 -> O3: 0.09 ppm, NOx: 0.01 ppm
11:40:21.710 -> O3: 0.11 ppm, NOx: 0.67 ppm
11:40:26.795 -> O3: 0.40 ppm, NOx: 11.07 ppm
11:40:31.876 -> O3: 0.52 ppm, NOx: 0.23 ppm
11:40:36.971 -> O3: 0.50 ppm, NOx: 0.20 ppm
11:40:42.037 -> O3: 0.49 ppm, NOx: 0.19 ppm
11:40:47.161 -> O3: 0.40 ppm, NOx: 0.13 ppm
11:40:52.262 -> O3: 0.36 ppm, NOx: 0.12 ppm
11:40:57.312 -> O3: 1.55 ppm, NOx: 1.98 ppm
11:41:02.448 -> O3: 1.37 ppm, NOx: 1.54 ppm
11:41:07.511 -> O3: 1.24 ppm, NOx: 1.26 ppm
11:41:12.588 -> O3: 1.42 ppm, NOx: 1.65 ppm
11:41:17.713 -> O3: 1.29 ppm, NOx: 1.49 ppm
11:41:22.785 -> O3: 1.33 ppm, NOx: 1.54 ppm
11:41:27.898 -> O3: 1.42 ppm, NOx: 1.63 ppm
11:41:32.975 -> O3: 1.31 ppm, NOx: 1.56 ppm
11:41:38.043 -> O3: 1.17 ppm, NOx: 1.16 ppm
11:41:43.135 -> O3: 1.32 ppm, NOx: 1.40 ppm
11:41:48.248 -> O3: 1.21 ppm, NOx: 1.34 ppm
11:41:53.348 -> O3: 1.16 ppm, NOx: 1.07 ppm
11:41:58.411 -> O3: 1.40 ppm, NOx: 1.58 ppm
11:42:03.542 -> O3: 1.16 ppm, NOx: 1.20 ppm
11:42:08.590 -> O3: 1.23 ppm, NOx: 1.18 ppm
11:42:13.681 -> O3: 1.43 ppm, NOx: 1.77 ppm
11:42:18.777 -> O3: 1.17 ppm, NOx: 1.28 ppm
11:42:23.865 -> O3: 1.23 ppm, NOx: 1.22 ppm
11:42:28.957 -> O3: 1.37 ppm, NOx: 1.49 ppm
11:43:55.534 -> O3: 1.11 ppm, NOx: 1.11 ppm
11:44:00.631 -> O3: 1.23 ppm, NOx: 1.22 ppm
11:44:05.726 -> O3: 1.28 ppm, NOx: 1.49 ppm
11:44:10.808 -> O3: 1.17 ppm, NOx: 1.14 ppm
11:44:15.902 -> O3: 1.42 ppm, NOx: 1.65 ppm
11:44:20.985 -> O3: 1.16 ppm, NOx: 1.18 ppm
