12:28:07.780 -> 0.78 ppm  |  1.56 ppm
12:28:12.871 -> 0.92 ppm  |  1.79 ppm
12:28:17.963 -> 0.90 ppm  |  1.71 ppm
12:28:23.075 -> 0.90 ppm  |  1.68 ppm
12:28:28.186 -> 0.86 ppm  |  1.66 ppm
12:28:33.256 -> 0.86 ppm  |  1.66 ppm
12:28:38.330 -> 0.88 ppm  |  1.68 ppm
12:28:43.417 -> 0.92 ppm  |  1.76 ppm
12:28:48.529 -> 1.01 ppm  |  1.84 ppm
12:28:53.602 -> 1.01 ppm  |  1.84 ppm
12:28:58.702 -> 1.03 ppm  |  1.87 ppm
12:29:03.828 -> 1.08 ppm  |  1.89 ppm
12:29:08.885 -> 1.01 ppm  |  1.87 ppm
12:29:13.973 -> 1.06 ppm  |  1.87 ppm
12:29:19.061 -> 1.06 ppm  |  1.95 ppm
12:29:24.153 -> 1.06 ppm  |  1.89 ppm
12:29:29.245 -> 1.06 ppm  |  1.92 ppm
12:29:34.332 -> 1.03 ppm  |  1.89 ppm
12:29:39.424 -> 1.06 ppm  |  1.87 ppm
12:29:44.525 -> 0.99 ppm  |  1.84 ppm
12:29:49.616 -> 1.06 ppm  |  1.92 ppm
12:29:54.715 -> 1.16 ppm  |  2.01 ppm
12:29:59.794 -> 1.16 ppm  |  2.03 ppm
12:30:04.896 -> 1.16 ppm  |  2.01 ppm
12:30:09.975 -> 1.19 ppm  |  2.03 ppm
12:30:15.067 -> 1.16 ppm  |  2.01 ppm
12:30:20.202 -> 1.21 ppm  |  2.09 ppm
12:30:25.253 -> 1.21 ppm  |  2.06 ppm
12:30:30.338 -> 1.16 ppm  |  1.98 ppm
12:30:35.437 -> 1.08 ppm  |  1.92 ppm
12:30:40.524 -> 1.01 ppm  |  1.81 ppm
12:30:45.657 -> 0.90 ppm  |  1.68 ppm
12:30:50.708 -> 1.06 ppm  |  1.89 ppm
12:30:55.831 -> 1.11 ppm  |  1.95 ppm
12:31:00.901 -> 1.08 ppm  |  1.92 ppm
12:31:06.016 -> 1.06 ppm  |  1.89 ppm
12:31:11.068 -> 1.08 ppm  |  1.89 ppm
12:31:16.159 -> 1.01 ppm  |  1.81 ppm
12:31:21.297 -> 0.94 ppm  |  1.71 ppm
12:31:26.355 -> 1.01 ppm  |  1.87 ppm
12:31:31.446 -> 0.99 ppm  |  1.79 ppm
12:31:36.527 -> 0.99 ppm  |  1.81 ppm
12:31:41.626 -> 0.96 ppm  |  1.79 ppm
12:31:46.714 -> 1.01 ppm  |  1.81 ppm
12:31:51.806 -> 0.94 ppm  |  1.76 ppm
12:31:56.889 -> 0.86 ppm  |  1.63 ppm
12:32:01.989 -> 1.01 ppm  |  1.84 ppm
12:32:07.074 -> 1.06 ppm  |  1.92 ppm
12:32:12.169 -> 1.06 ppm  |  1.95 ppm
12:32:17.261 -> 0.96 ppm  |  1.79 ppm
12:32:22.345 -> 0.99 ppm  |  1.81 ppm
12:32:27.438 -> 1.01 ppm  |  1.79 ppm
12:32:32.549 -> 1.13 ppm  |  2.01 ppm
12:32:37.633 -> 1.16 ppm  |  2.01 ppm
12:32:42.732 -> 0.96 ppm  |  1.81 ppm
